sort_rank,variant,status,reason
1,001_scdiva_discrete_diffusion,implemented,Masked discrete denoising adapted as expression token auxiliary loss.
2,002_maskfeat_gene_features,implemented,Masked feature prediction adapted as per-cell gene-stat target.
3,003_consistency_teacher,implemented,EMA teacher and multi-mask consistency loss.
4,004_joao_graph_aug,implemented,Adaptive graph/mask augmentation with graph consistency.
5,005_tabr_retrieval,implemented,Nearest-neighbor retrieval context injected during training.
6,006_scvgae_zinb_graph,implemented,Robust reconstruction plus lightweight graph regularization.
7,007_dino_self_distill,implemented,DINO-style self-distillation without external weights.
8,008_cell_hierarchy_proto,implemented,Ontology idea adapted as unsupervised prototype hierarchy.
9,009_langcell_language_cell,skipped,Requires language-cell paired pretraining and external large model weights; not used for fair scMAE-only benchmark.
10,010_longtail_prototype,implemented,Long-tail-aware prototype balancing.
11,011_mamba_gated_sequence,implemented,Gated sequence-style encoder approximation.
12,012_single_cell_foundation_survey,skipped,Survey paper; used as design context only.
13,013_masked_sc_clustering,implemented,Cluster-aware masked modeling via prototype and consistency regularization.
14,014_cicl_iter_contrast,implemented,Iterative contrastive regularization adapted to two masked views.
15,015_scagc_adaptive_graph,implemented,Adaptive graph guidance with neighbor consistency.
16,016_multi_omics_integration_survey,skipped,Survey/integration review; no single directly comparable scMAE variant.
17,017_interpretable_sparse_gate,implemented,Sparse gene gate for interpretability.
18,018_beit_tokenizer,implemented,Expression tokenizer auxiliary prediction.
19,019_data2vec_ema,implemented,EMA latent target prediction.
20,020_multimae_targets,implemented,Multi-target expression/token/gene-stat reconstruction.
21,021_audiomae,skipped,Audio-domain MAE idea overlaps with generic masked modeling already covered by 020.
22,022_ijepa_latent,implemented,Joint-embedding latent prediction with masked views.
23,023_maskgit_iterative,implemented,Iterative/high-mask token prediction curriculum.
24,024_flow_matching,skipped,Full flow matching would add heavy generative training and weak clustering comparability in this phase.
25,025_anomaly_transformer,skipped,Anomaly-association prior is less aligned with fixed-k cell clustering and deferred.
26,026_bgrl_graph_bootstrap,implemented,Graph bootstrap teacher/student regularization.
27,027_graph_barlow,implemented,Barlow Twins redundancy reduction on two graph/mask views.
28,028_graphormer_bias,implemented,Neighbor-distance-biased graph/retrieval regularization.
29,029_fuzzy_clustering,implemented,Soft membership clustering regularization.
30,030_fuzzy_rough_boundary,implemented,Fuzzy rough boundary regularization.
