group_slug,group_title,query,rank,title,url,domain,score,content,is_probably_paper
b1_sc_qc_noise,B1 — 单细胞数据质控: 噪声建模与稀疏数据处理 (QC: Noise & Sparsity Modeling),scVelo RNA velocity statistical model trajectory inference theory 2024 2025,1,RNA velocity estimation leveraging cluster-level trajectory inference,https://www.nature.com/articles/s41467-025-61628-x.pdf,www.nature.com,0.99998486,"Benchmarking methods scVelo. scVelo implements preprocessing by the following functions: scvelo.pp.ﬁlter_and_normalize(adata, min_shared_counts =20, n_top_genes=2000) scvelo.pp.moments(adata, n_neighbors=30, n_pcs=30) For both stochastic mode and dynamical mode, we use the default setting of scVelo following the tutorial:  en/stable/.
Notably, the inherent randomness in scVelo’s dynamical mode and veloVI may lead to differences between the reproduced results and the results shown in the original paper. The details are discussed in Supplementary Note 9. [...] cell type, which is identical to the annotation in (a).d Velocity ﬁtting for genes Map1b, Cplx2 and Ak5 from TIVelo. Top row: u-s scatter plots colored by cell type, with ﬁtted ODE curve from scVelo (dynamical mode). Bottom row: ﬁtted velocity vectors of sampled cells from TIVelo. The Granule mature cells are colored by red, and other cell types are colored by light blue. e Directed trajectory inference (DTI) analysis by TIVelo. [...] Article  Nature Communications| (2025) 16:6258 8 Quantitative comparison with benchmarking methods on ten real datasets To thoroughly assess TIVelo’s performance, we did a comparison on ten datasets commonly used by existing RNA velocity inference methods, as shown in Fig. 7. The comparison includes TIVelo and six other benchmarking methods, namely scVelo (stochastic mode), scVelo (dynamical mode), UniTVelo, cellDancer, veloVI and Deep-Velo. The metrics to measure their performance include cross-boundary direction correctness (CBDir) (Gene space), transition cosine similarities (TransCosine), and velocity coherence (VeloCoh)14. CBDir (Gene space) and TransCosine assess if the esti-mated velocity vectors follow the expected developmental trajec-tory, while VeloCoh tests if the inferred",False
b3_trajectory_alignment,B3 — 轨迹推断与细胞状态对齐 (Trajectory Inference & Cell State Alignment),trajectory inference single-cell optimal transport Waddington ICML NeurIPS 2024 2025,1,MIOFlow 2.0: A unified framework for inferring cellular stochastic ...,https://arxiv.org/html/2603.22564v2,arxiv.org,0.9999745,"Existing approaches to trajectory inference fall short in addressing these combined challenges. A substantial body of work focuses on generative modeling tasks, such as flowing from noise distributions to data, and is not designed for temporal interpolation (Song and Ermon, 2019; Ho et al., 2020; Grathwohl et al., 2019). Methods that do tackle trajectory inference, including TrajectoryNet (Tong et al., 2020) and Waddington-OT (Schiebinger et al., 2019), often make restrictive assumptions such as Gaussian distributed populations. More recently, Flow Matching (Lipman et al., 2023; Tong et al., 2023) has been applied to single-cell trajectory problems but relies on prescribed velocity fields that enforce straight-line interpolations in ambient space, ignoring curved manifold geometry. While [...] ### 2.4. Related Work: The Methodological Landscape

The intersection of Optimal Transport and Differential Equations has sparked a surge of interest in trajectory inference.
Early discrete methods, such as Waddington-OT (WOT) (Schiebinger et al., 2019), used static OT to connect snapshots but lacked a continuous time model.
TrajectoryNet (Tong et al., 2020) was the first to bridge this gap by regularizing a Continuous Normalizing Flow (CNF) with an OT-based kinetic energy penalty.
However, TrajectoryNet assumed strict mass conservation and was primarily tested on deterministic, non-spatial systems. [...] By performing trajectory inference in this biologically informative latent space 𝒵\mathcal{Z}, MIOFlow 2.0 ensures that the inferred transport costs correspond to true developmental distances rather than artifacts of high-dimensional noise.",True
b1_sc_qc_noise,B1 — 单细胞数据质控: 噪声建模与稀疏数据处理 (QC: Noise & Sparsity Modeling),scVelo RNA velocity statistical model trajectory inference theory 2024 2025,2,spVelo: RNA velocity inference for multi-batch spatial ... - PMC - NIH,https://pmc.ncbi.nlm.nih.gov/articles/PMC12337411/,pmc.ncbi.nlm.nih.gov,0.99996877,Abstract. RNA velocity has emerged as a powerful tool to interpret transcriptional dynamics and infer trajectory from snapshot datasets.,True
b3_trajectory_alignment,B3 — 轨迹推断与细胞状态对齐 (Trajectory Inference & Cell State Alignment),trajectory inference single-cell optimal transport Waddington ICML NeurIPS 2024 2025,2,Deciphering cell-fate trajectories using spatiotemporal single-cell ...,https://www.nature.com/articles/s41540-025-00624-9,www.nature.com,0.9999685,"Trajectory inference methods also differ in the dynamical models they adopt, which could be formulated in either discrete or continuous time and space. The choice of dynamical model specifies the underlying structure of the governing equations, while the inference procedure estimates the unknown components (typically time-dependent scalar or vector fields). When the continuous temporal evolution of the distribution is not of primary interest, one may instead employ discrete-time dynamics, focusing on the mapping of cell states observed at an initial time point to those at a subsequent one (Eq. (1)). Methods such as Waddington OT35.""), MOSCOT36."") and Multistage OT112."") adopt this setting. In particular, optimal transport between Gaussian mixtures admits an analytical solution, which [...] 113. Yachimura, T. et al. scEGOT: single-cell trajectory inference framework based on entropic gaussian mixture optimal transport. BMC Bioinform. 25, 388 (2024). [...] Wasserstein Flow Matching with Applications to Single-Cell Genomics. Adv. Neural Inf. Process. Syst. (Curran Associates, Inc., 2024).""), and SCOT+101."") apply GWOT theory to address multi-modal and cross-system integration challenges in trajectory inference tasks.",False
b2_multimodal_integration,B2 — 多模态单细胞数据整合 (Multi-Modal & Cross-Assay Integration),single-cell multi-omics alignment optimal transport manifold 2024 2025 bioinformatics,1,Single‐Cell and Spatial Omics: Methods and Applications - PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC13053676/,pmc.ncbi.nlm.nih.gov,0.9999671,"optimal transport theory and convex neural architectures to develop a framework for predicting the response of cells to given perturbation . [...] In addition to improving the performance of common spatial omics tasks, spatial multi‐omics integration can also be used for downstream biomedical discovery. For example, stClinic designed a dynamic graph model that integrates spatial multi‐slice multiomics and clinical phenotype data to uncover clinically relevant niches . Some other algorithms are developed to integrate spatial omics across different platforms  or different samples. PASTE provided cross‐slice alignment by Gromov–Wasserstein optimal transport algorithm . CAST is a deep graph neural network‐based method for cross sample alignment of spatial omics at the single‐cell level . These approaches lay the groundwork for comparative spatial analyses across tissues, conditions, and technologies. Moreover, additional representation [...] and spatial evolutionary trajectories in brain tumors. An emerging frontier involves quantifying causal effects and treatment perturbations directly at single‐cell resolution. Perturbation‐aware models such as CINEMA‐OT employed causal optimal transport to reveal mechanisms of environmental exposure, for example, diminished antiviral responses following cigarette‐smoke stimulation . scCausalVI employed causality‐aware generative modeling to identify treatment‐responsive cell populations and their underlying molecular programs in infectious disease .",True
b3_trajectory_alignment,B3 — 轨迹推断与细胞状态对齐 (Trajectory Inference & Cell State Alignment),single-cell flow estimation optimal transport developmental biology 2024 2025,1,Generating and navigating single cell dynamics via a geodesic ...,https://www.biorxiv.org/content/10.64898/2026.03.31.715478v1.full-text,www.biorxiv.org,0.9999453,MultistageOT: Multistage optimal transport infers trajectories from a snapshot of single-cell data . Preprint at doi:10.48550/ARXIV.2502.05241 (2025).,False
b1_sc_qc_noise,B1 — 单细胞数据质控: 噪声建模与稀疏数据处理 (QC: Noise & Sparsity Modeling),scVelo RNA velocity statistical model trajectory inference theory 2024 2025,3,"Paradigms, innovations, and biological applications of RNA velocity",https://pmc.ncbi.nlm.nih.gov/articles/PMC12265890/,pmc.ncbi.nlm.nih.gov,0.99992573,"Trajectory methods, such as the dynamical model of scVelo, therefore struggle to determine whether a trajectory is in the upregulation or downregulation phase.",True
b2_multimodal_integration,B2 — 多模态单细胞数据整合 (Multi-Modal & Cross-Assay Integration),single-cell multi-omics alignment optimal transport manifold 2024 2025 bioinformatics,2,[PDF] scCotag: Diagonal integration of single-cell multi-omics data via ...,https://www.biorxiv.org/content/10.64898/2025.12.11.693589v1.full.pdf,www.biorxiv.org,0.99992573,"Nature Biotechnology 40(10), 1458–1466 (2022) 10. Chizat, L., Peyré, G., Schmitzer, B., Vialard, F.X.: Unbalanced optimal transport: Dynamic and kantorovich formulations. Journal of Functional Analysis 274(11), 3090–3123 (2018) 11. Cohen Kalafut, N., Huang, X., Wang, D.: Joint variational autoencoders for multimodal imputation and embed-ding. Nature machine intelligence 5(6), 631–642 (2023) 12. Cui, Z., Chang, H., Shan, S., Chen, X.: Generalized unsupervised manifold alignment. Advances in Neural Infor-mation Processing Systems 27 (2014) 13. Cuturi, M.: Sinkhorn distances: Lightspeed computation of optimal transport. Advances in neural information processing systems 26 (2013) 14. Demetci, P., Santorella, R., Sandstede, B., Noble, W.S., Singh, R.: Scot: single-cell multi-omics alignment [...] have enabled characterization of cellular states across distinct omics layers, yielding complementary insights into the organization of biological systems. To jointly leverage these disparate modalities, computational methods have been developed to align non-overlapping cell populations profiled in different omics layers, a task known as diagonal integration, thereby facilitating more fine-grained biological interpretations. However, existing integration approaches unrealistically assume that all cells are alignable and treat prior-knowledge-derived feature correspondences as fully reliable, retaining them unrefined throughout the alignment process. In this work, we introduce scCotag, a co-optimal transport (COOT)-based deep learning frame-work for diagonal integration of single-cell [...] W.S., Singh, R.: Scot: single-cell multi-omics alignment with optimal transport. Journal of computational biology 29(1), 3–18 (2022) 15. Duren, Z., Chen, X., Zamanighomi, M., Zeng, W., Satpathy, A.T., Chang, H.Y., Wang, Y., Wong, W.H.: In-tegrative analysis of single-cell genomics data by coupled nonnegative matrix factorizations. Proceedings of the National Academy of Sciences 115(30), 7723–7728 (2018) 16. Flamary, R., Courty, N., Gramfort, A., Alaya, M.Z., Boisbunon, A., Chambon, S., Chapel, L., Corenflos, A., Fatras, K., Fournier, N., et al.: Pot: Python optimal transport. Journal of Machine Learning Research 22(78), 1–8 (2021) 17. Fu, S., Wang, S., Si, D., Li, G., Gao, Y., Liu, Q.: Benchmarking single-cell multi-modal data integrations. Nature Methods pp. 1–12 (2025) 18. Gabitto,",False
b3_trajectory_alignment,B3 — 轨迹推断与细胞状态对齐 (Trajectory Inference & Cell State Alignment),trajectory inference single-cell optimal transport Waddington ICML NeurIPS 2024 2025,3,Simulation-based inference of cell migration dynamics in complex ...,https://www.nature.com/articles/s41540-026-00648-9,www.nature.com,0.9998776,"A dynamic model for Waddington's landscape accounting for cell-to-cell communication. ... Optimal Transport: Old and New Vol. 338 (Springer, 2009). Prangle, D",False
b2_multimodal_integration,B2 — 多模态单细胞数据整合 (Multi-Modal & Cross-Assay Integration),single-cell multi-omics alignment optimal transport manifold 2024 2025 bioinformatics,3,SCOT+: A Comprehensive Software Suite for Single-Cell alignment ...,https://pmc.ncbi.nlm.nih.gov/articles/PMC12154691/,pmc.ncbi.nlm.nih.gov,0.99983656,"By using optimal transport (OT) to align cells and features across disparate datasets produced by separate assays, Single Cell alignment using Optimal",True
