category,子方向,title,venue_year,tier,url,与选题关系
A_单细胞聚类方法,对比+图,Learning Adaptive Cell Graphs with Contrastive Guidance (scAGC),2025 / arXiv,CS方法,https://arxiv.org/html/2508.09180v1,当前最强对比聚类基线之一;要复现对照
A_单细胞聚类方法,对比+收缩,JojoSCL: Shrinkage Contrastive Learning for scRNA Clustering,2025 / arXiv,CS方法,https://arxiv.org/html/2506.00410,对比聚类SOTA;10数据集
A_单细胞聚类方法,多视图对比GNN,Decoupled GNNs based on multi-view contrastive learning for scRNA clustering,2025 / Brief Bioinform,生信一区,https://academic.oup.com/bib/article/doi/10.1093/bib/bbaf198/8131469,多视图对比;可对照
A_单细胞聚类方法,对抗图对比,Deep clustering of scRNA-seq using adversarial graph contrastive learning,2025 / PMC,生信,https://pmc.ncbi.nlm.nih.gov/articles/PMC12368859/,对抗+图对比
A_单细胞聚类方法,图+对比,Graph and Contrastive-Based Representation Learning for scRNA Clustering,2025 / PubMed,生信,https://pubmed.ncbi.nlm.nih.gov/41191468,细胞对+对比
A_单细胞聚类方法,精炼对比,Refinement Contrastive Learning of Cell-Gene Associations,2025 / arXiv,CS方法,https://arxiv.org/html/2512.10640,cell-gene关联;跨scRNA+空间
A_单细胞聚类方法,结构深度聚类,scASDC: Attention Enhanced Structural Deep Clustering,2024 / arXiv,CS方法,https://arxiv.org/html/2408.05258v1,注意力+结构聚类SOTA声称
A_单细胞聚类方法,图割嵌入,Efficient Deep Structural Clustering via Deep Cut-informed Graph Embedding (scDCGE),2024 / arXiv,CS方法,https://arxiv.org/html/2404.06167v2,解over-smoothing;与我们CutAware相关
A_单细胞聚类方法,经典基线,scDeepCluster: model-based deep learning clustering,2019 / Nat Mach Intell,里程碑,https://www.researchgate.net/publication/332308793,必比经典基线
A_单细胞聚类方法,约束聚类,scDCC: Model-based deep embedding for constrained clustering,2021 / Nat Commun,里程碑,https://link.springer.com/10.1038/s41467-021-22008-3,必比经典基线
A_单细胞聚类方法,多尺度,A robust multi-scale clustering framework for scRNA-seq,2025 / Sci Rep,生信,https://www.nature.com/articles/s41598-025-03603-6,多尺度聚类
